"nome_fantasia","data_inicio_atividades","cnae_fiscal","cep","municipio","porte","dist_1","dist_2","dist_3","dist_4"
"PORTELA SERVICOS E DISTRIBUCAO","20120424","4723700","45065440","3965","1","NaN","NaN","NaN","NaN"
"PORTHAL","19980602","7020400","41900325","3849","1","NaN","NaN","NaN","NaN"
"PORTINOX AMBIENTES","19901207","4754701","42700130","3685","5","NaN","NaN","NaN","NaN"
"PORTO & ALMEIDA MATERIAIS PARA CONSTRUCAO","20120126","4724500","45190000","3801","1","NaN","NaN","NaN","NaN"
"PORTO CAYMMI LOUNGE E BAR","20090526","5611204","41940426","3849","1","NaN","NaN","NaN","NaN"
"PORTO CONFECCOES","20010524","4781400","45836000","3613","3","NaN","NaN","NaN","NaN"
"PORTO DAS ANCORAS PRAIA HOTEL","20030516","5510801","45810000","3807","3","NaN","NaN","NaN","NaN"
"PORTO DO REAL","20040416","4755502","45810000","3807","3","NaN","NaN","NaN","NaN"
"PORTO FINO EMPREENDIMENTOS","20050607","7830200","43700000","3913","5","NaN","NaN","NaN","NaN"
"PORTO MOTOS","20010712","4541206","45820331","3117","1","NaN","NaN","NaN","NaN"
"PORTO NATIVO TURISMO & AVENTURA","20060613","7911200","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTO OLIVEIRA EQUIPAMENTOS DE SOM","19990105","4757100","44088110","3515","1","NaN","NaN","NaN","NaN"
"PORTO SEGURO SISTEMA E PLANEJAMENTO EDUCACIONAL","20110805","8599699","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTO SEGURO TRANSPORTE","20070504","4930203","45928000","3761","1","NaN","NaN","NaN","NaN"
"PORTO SEGURO VIDEO CIRURGIA","20100602","8610102","45810000","3807","3","NaN","NaN","NaN","NaN"
"PORTO TROPICAL","20041201","4110700","45400000","3957","5","NaN","NaN","NaN","NaN"
"PORTOCON","20080122","4619200","42700130","3685","1","NaN","NaN","NaN","NaN"
"PORTOGRAF","20100311","1822999","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTOKALY","20071003","4649408","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTOSHOP","20020115","4723700","45810000","3807","1","NaN","NaN","NaN","NaN"
"PORTOVEL","19930326","4511103","45836000","3613","5","NaN","NaN","NaN","NaN"
"PORTOVEL","19961011","4511103","45810000","3807","5","NaN","NaN","NaN","NaN"
"PORTTAL VEICULOS","20040906","4520002","45065230","3965","1","NaN","NaN","NaN","NaN"
"PORTUGAL GERADORES","20100219","7732201","42821658","3413","1","NaN","NaN","NaN","NaN"
"PORTUGAL PRE-MOLDADOS","20040803","2330302","44010635","3515","1","NaN","NaN","NaN","NaN"
